,idx,word,topic,topic_id,adj,aux,adv,conj,int,n,num,pfx,pron,prep,pres,rel,sfx,v,vn,vi,vt
245,1F9,screw,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
246,1FA,sign,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
247,1FB,shelf,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
248,1FF,sponge,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
249,201,spoon,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
250,202,spring,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
251,209,table,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
252,213,tray,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
253,214,umbrella,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254,217,wheel,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
255,218,wire,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
256,21C,coat,clothing,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
257,21D,collar,clothing,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
258,220,glove,clothing,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
259,226,trousers,clothing,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
260,227,shirt,clothing,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
261,229,shoe,clothing,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
262,22A,skirt / dress,clothing,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
263,22E,building,buildings and institutions,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
264,233,door,buildings and institutions,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
265,234,lift,buildings and institutions,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
266,236,floor,buildings and institutions,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
267,237,roof,buildings and institutions,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
268,23A,wall,buildings and institutions,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
269,23B,window,buildings and institutions,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
270,23C,church,buildings and institutions,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
271,23E,hospital,buildings and institutions,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
